Name,Location,Country,Distance,Time,Difficulty,Up,Down,Description,Lat,Lng
Amsterdamse Bos Walk #1,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #2,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #3,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #4,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #5,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #6,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #7,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #8,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #9,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #10,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #11,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #12,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #13,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #14,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #15,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #16,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #17,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #18,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #19,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #20,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #21,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #22,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #23,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #24,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #25,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #26,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #27,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #28,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #29,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #30,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #31,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #32,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #33,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #34,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #35,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #36,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #37,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #38,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #39,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #40,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #41,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #42,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #43,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #44,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #45,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #46,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #47,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #48,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #49,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #50,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #51,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #52,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #53,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #54,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #55,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #56,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #57,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #58,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #59,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #60,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #61,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #62,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #63,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #64,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #65,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #66,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #67,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #68,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #69,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #70,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #71,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #72,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #73,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #74,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #75,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #76,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #77,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #78,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #79,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #80,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
